timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776059498266,560,HTTP Request 2,200,OK,config 2 1-1,text,true,,231,168,9,9,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,554,0,32
1776059498266,560,HTTP Request 2,200,OK,config 2 1-2,text,true,,231,168,9,9,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,554,0,34
1776059498272,553,HTTP Request 2,200,OK,config 2 1-3,text,true,,231,168,9,9,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,547,0,23
1776059498361,553,HTTP Request 2,200,OK,config 2 1-4,text,true,,231,168,10,10,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,553,0,5
1776059498451,559,HTTP Request 2,200,OK,config 2 1-5,text,true,,231,168,11,11,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,559,0,4
1776059498540,558,HTTP Request 2,200,OK,config 2 1-6,text,true,,231,168,12,12,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,558,0,4
1776059498631,569,HTTP Request 2,200,OK,config 2 1-7,text,true,,231,168,13,13,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,569,0,6
1776059498720,556,HTTP Request 2,200,OK,config 2 1-8,text,true,,231,168,14,14,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,556,0,5
1776059498810,634,HTTP Request 2,200,OK,config 2 1-9,text,true,,231,168,16,16,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,634,0,47
1776059498901,543,HTTP Request 2,200,OK,config 2 1-10,text,true,,231,168,16,16,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,543,0,3
1776059498991,531,HTTP Request 2,200,OK,config 2 1-11,text,true,,231,168,16,16,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,531,0,5
1776059499082,529,HTTP Request 2,200,OK,config 2 1-12,text,true,,231,168,17,17,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,529,0,4
1776059499172,545,HTTP Request 2,200,OK,config 2 1-13,text,true,,231,168,19,19,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,544,0,4
1776059499260,545,HTTP Request 2,200,OK,config 2 1-14,text,true,,231,168,20,20,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,545,0,6
1776059499351,562,HTTP Request 2,200,OK,config 2 1-15,text,true,,231,168,21,21,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,562,0,3
1776059499441,610,HTTP Request 2,200,OK,config 2 1-16,text,true,,231,168,22,22,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,610,0,5
1776059499531,595,HTTP Request 2,200,OK,config 2 1-17,text,true,,231,168,23,23,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,595,0,41
1776059499682,536,HTTP Request 2,200,OK,config 2 1-2,text,true,,231,168,24,24,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,536,0,0
1776059499640,578,HTTP Request 2,200,OK,config 2 1-1,text,true,,231,168,24,24,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=2,578,0,0
